ID,Sport,League,Home,Away,Time
basketball:alabama am bulldogs:alabama state hornets:20260119,basketball,College Basketball,Alabama A&M Bulldogs,Alabama State Hornets,2026-01-19 22:00:00
basketball:bethunecookman wildcats:arkansaspine bluff golden lions:20260119,basketball,College Basketball,Bethune-Cookman Wildcats,Arkansas-Pine Bluff Golden Lions,2026-01-19 23:30:00
basketball:bryant bulldogs:njit highlanders:20260119,basketball,College Basketball,Bryant Bulldogs,NJIT Highlanders,2026-01-19 19:00:00
basketball:celtics:pistons:20260120,basketball,NBA,Celtics,Pistons,2026-01-20 01:00:00
basketball:central connecticut state blue devils:mercyhurst lakers:20260119,basketball,College Basketball,Central Connecticut State Blue Devils,Mercyhurst Lakers,2026-01-19 19:00:00
basketball:clippers:wizards:20260119,basketball,NBA,Clippers,Wizards,2026-01-19 20:00:00
basketball:columbia lions:yale bulldogs:20260119,basketball,College Basketball,Columbia Lions,Yale Bulldogs,2026-01-19 19:00:00
basketball:cornell big red:brown bears:20260119,basketball,College Basketball,Cornell Big Red,Brown Bears,2026-01-19 19:00:00
basketball:drexel dragons:towson tigers:20260119,basketball,College Basketball,Drexel Dragons,Towson Tigers,2026-01-19 18:00:00
basketball:east texas am lions:incarnate word cardinals:20260119,basketball,College Basketball,East Texas A&M Lions,Incarnate Word Cardinals,2026-01-19 23:00:00
basketball:fairfield stags:siena saints:20260119,basketball,College Basketball,Fairfield Stags,Siena Saints,2026-01-19 19:00:00
basketball:florida am rattlers:mississippi valley state delta devils:20260120,basketball,College Basketball,Florida A&M Rattlers,Mississippi Valley State Delta Devils,2026-01-20 01:00:00
basketball:george washington revolutionaries:george mason patriots:20260119,basketball,College Basketball,George Washington Revolutionaries,George Mason Patriots,2026-01-19 22:00:00
basketball:heat:warriors:20260120,basketball,NBA,Heat,Warriors,2026-01-20 03:00:00
basketball:iona gaels:saint peters peacocks:20260119,basketball,College Basketball,Iona Gaels,Saint Peter's Peacocks,2026-01-19 19:00:00
basketball:jazz:spurs:20260119,basketball,NBA,Jazz,Spurs,2026-01-19 22:00:00
basketball:lamar cardinals:new orleans privateers:20260120,basketball,College Basketball,Lamar Cardinals,New Orleans Privateers,2026-01-20 01:00:00
basketball:liu sharks:le moyne dolphins:20260119,basketball,College Basketball,LIU Sharks,Le Moyne Dolphins,2026-01-19 20:00:00
basketball:loyola maryland greyhounds:lehigh mountain hawks:20260120,basketball,College Basketball,Loyola Maryland Greyhounds,Lehigh Mountain Hawks,2026-01-20 00:00:00
basketball:manhattan jaspers:quinnipiac bobcats:20260119,basketball,College Basketball,Manhattan Jaspers,Quinnipiac Bobcats,2026-01-19 19:00:00
basketball:mavericks:knicks:20260119,basketball,NBA,Mavericks,Knicks,2026-01-19 22:00:00
basketball:mcneese state cowboys:texas amcorpus christi islanders:20260119,basketball,College Basketball,McNeese State Cowboys,Texas A&M-Corpus Christi Islanders,2026-01-19 21:00:00
basketball:melbourne:brisbane bullets:20260121,basketball,NBL Australia,Melbourne United,Brisbane Bullets,2026-01-21 06:30:00
basketball:merrimack college warriors:marist red foxes:20260119,basketball,College Basketball,Merrimack College Warriors,Marist Red Foxes,2026-01-19 19:00:00
basketball:montana grizzlies:northern arizona lumberjacks:20260120,basketball,College Basketball,Montana Grizzlies,Northern Arizona Lumberjacks,2026-01-20 01:00:00
basketball:montana state bobcats:northern colorado bears:20260120,basketball,College Basketball,Montana State Bobcats,Northern Colorado Bears,2026-01-20 01:00:00
basketball:mount st marys mountaineers:niagara purple eagles:20260119,basketball,College Basketball,Mount St. Mary's Mountaineers,Niagara Purple Eagles,2026-01-19 19:00:00
basketball:new hampshire wildcats:maine black bears:20260119,basketball,College Basketball,New Hampshire Wildcats,Maine Black Bears,2026-01-19 19:00:00
basketball:new haven chargers:chicago state cougars:20260120,basketball,College Basketball,New Haven Chargers,Chicago State Cougars,2026-01-20 00:00:00
basketball:north carolina at aggies:hampton pirates:20260120,basketball,College Basketball,North Carolina A&T Aggies,Hampton Pirates,2026-01-20 02:00:00
basketball:northeastern huskies:monmouth hawks:20260119,basketball,College Basketball,Northeastern Huskies,Monmouth Hawks,2026-01-19 16:00:00
basketball:northwestern state demons:houston christian huskies:20260120,basketball,College Basketball,Northwestern State Demons,Houston Christian Huskies,2026-01-20 01:00:00
basketball:pacers:sixers:20260120,basketball,NBA,Pacers,76ers,2026-01-20 00:00:00
basketball:penn quakers:harvard crimson:20260119,basketball,College Basketball,Penn Quakers,Harvard Crimson,2026-01-19 19:00:00
basketball:perth wildcats:cairns taipans:20260122,basketball,NBL Australia,Perth Wildcats,Cairns Taipans,2026-01-22 10:30:00
basketball:prairie view am panthers:alcorn state braves:20260119,basketball,College Basketball,Prairie View A&M Panthers,Alcorn State Braves,2026-01-19 20:00:00
basketball:princeton tigers:dartmouth big green:20260119,basketball,College Basketball,Princeton Tigers,Dartmouth Big Green,2026-01-19 23:00:00
basketball:providence friars:marquette golden eagles:20260119,basketball,College Basketball,Providence Friars,Marquette Golden Eagles,2026-01-19 23:00:00
basketball:quimsa:san martin de corrientes:20260121,basketball,Argentine LNB,Quimsa,San Martin de Corrientes,2026-01-21 01:10:00
basketball:sacred heart pioneers:rider broncs:20260119,basketball,College Basketball,Sacred Heart Pioneers,Rider Broncs,2026-01-19 19:00:00
basketball:south east melbourne phoenix:new zealand breakers:20260121,basketball,NBL Australia,South East Melbourne Phoenix,New Zealand Breakers,2026-01-21 08:30:00
basketball:southeastern louisiana lions:texasrio grande valley vaqueros:20260120,basketball,College Basketball,Southeastern Louisiana Lions,Texas-Rio Grande Valley Vaqueros,2026-01-20 00:30:00
basketball:stonehill skyhawks:st francis pa red flash:20260119,basketball,College Basketball,Stonehill Skyhawks,St. Francis (PA) Red Flash,2026-01-19 17:00:00
basketball:suns:nets:20260120,basketball,NBA,Suns,Nets,2026-01-20 00:30:00
basketball:sydney kings:tasmania jackjumpers:20260122,basketball,NBL Australia,Sydney Kings,Tasmania JackJumpers,2026-01-22 08:30:00
basketball:texas southern tigers:jackson state tigers:20260120,basketball,College Basketball,Texas Southern Tigers,Jackson State Tigers,2026-01-20 01:00:00
basketball:thunder:cavaliers:20260119,basketball,NBA,Thunder,Cavaliers,2026-01-19 19:30:00
basketball:umbc retrievers:binghamton bearcats:20260119,basketball,College Basketball,UMBC Retrievers,Binghamton Bearcats,2026-01-19 19:00:00
basketball:vermont catamounts:albany great danes:20260119,basketball,College Basketball,Vermont Catamounts,Albany Great Danes,2026-01-19 18:00:00
basketball:wagner seahawks:fairleigh dickinson knights:20260119,basketball,College Basketball,Wagner Seahawks,Fairleigh Dickinson Knights,2026-01-19 19:00:00
football:aarhus:odense:20260206,football,Danish Superliga,Aarhus GF,Odense BK,2026-02-06 18:00:00
football:aj auxerre:paris saint-germain:20260123,football,Ligue 1,AJ Auxerre,Paris Saint-Germain FC,2026-01-23 19:00:00
football:ajax:volendam:20260124,football,Eredivisie,AFC Ajax,FC Volendam,2026-01-24 15:30:00
football:al ettifaq saudi:neom:20260121,football,Saudi Pro League,Al Ettifaq Saudi Club,NEOM SC,2026-01-21 17:30:00
football:antalyaspor:genclerbirligi:20260125,football,Turkish Super Lig,Antalyaspor,Gençlerbirliği SK,2026-01-25 14:00:00
football:arsenal:manchester:20260125,football,Premier League,Arsenal FC,Manchester United FC,2026-01-25 16:30:00
football:auckland:central coast mariners:20260124,football,A-League,Auckland FC,Central Coast Mariners FC,2026-01-24 04:00:00
football:barcelona:oviedo:20260125,football,La Liga,FC Barcelona,Real Oviedo,2026-01-25 15:15:00
football:bayer leverkusen:bremen:20260124,football,Bundesliga,Bayer 04 Leverkusen,SV Werder Bremen,2026-01-24 14:30:00
football:bayern munich:augsburg:20260124,football,Bundesliga,FC Bayern München,FC Augsburg,2026-01-24 14:30:00
football:bayern munich:ru saintgilloise:20260121,football,Champions League,FC Bayern München,RU Saint-Gilloise,2026-01-21 20:00:00
football:besiktas jk:kayserispor:20260119,football,Turkish Super Lig,Beşiktaş JK,Kayserispor,2026-01-19 17:00:00
football:bodoglimt:manchester city:20260120,football,Champions League,FK Bodø/Glimt,Manchester City FC,2026-01-20 17:45:00
football:bologna:celtic:20260122,football,Europa League,Bologna FC 1909,Celtic FC,2026-01-22 17:45:00
football:bournemouth:liverpool:20260124,football,Premier League,AFC Bournemouth,Liverpool FC,2026-01-24 17:30:00
football:braga:alverca:20260125,football,Primeira Liga,SC Braga,FC Alverca,2026-01-25 20:30:00
football:brann:midtjylland:20260122,football,Europa League,SK Brann,FC Midtjylland,2026-01-22 17:45:00
football:brentford:nottingham forest:20260125,football,Premier League,Brentford FC,Nottingham Forest FC,2026-01-25 14:00:00
football:brighton:bournemouth:20260119,football,Premier League,Brighton & Hove Albion FC,AFC Bournemouth,2026-01-19 20:00:00
football:brisbane roar:adelaide:20260124,football,A-League,Brisbane Roar FC,Adelaide United FC,2026-01-24 06:00:00
football:brondby:randers:20260208,football,Danish Superliga,Brøndby IF,Randers FC,2026-02-08 17:00:00
football:burnley:tottenham:20260124,football,Premier League,Burnley FC,Tottenham Hotspur FC,2026-01-24 15:00:00
football:casa pia:avs futebol:20260123,football,Primeira Liga,Casa Pia AC,AVS Futebol,2026-01-23 20:15:00
football:caykur rizespor:alanyaspor:20260125,football,Turkish Super Lig,Çaykur Rizespor,Alanyaspor,2026-01-25 14:00:00
football:cd nacional:rio ave:20260125,football,Primeira Liga,CD Nacional,Rio Ave FC,2026-01-25 15:30:00
football:chelsea:pafos:20260121,football,Champions League,Chelsea FC,Páfos FC,2026-01-21 20:00:00
football:como:torino:20260124,football,Serie A,Como 1907,Torino FC,2026-01-24 14:00:00
football:cremonese:verona:20260119,football,Serie A,US Cremonese,Hellas Verona FC,2026-01-19 17:30:00
football:crystal palace:chelsea:20260125,football,Premier League,Crystal Palace FC,Chelsea FC,2026-01-25 14:00:00
football:de marseille:liverpool:20260121,football,Champions League,Olympique de Marseille,Liverpool FC,2026-01-21 20:00:00
football:elche:sevilla:20260119,football,La Liga,Elche CF,Sevilla FC,2026-01-19 20:00:00
football:everton:leeds:20260126,football,Premier League,Everton FC,Leeds United FC,2026-01-26 20:00:00
football:famalicao:cd tondela:20260125,football,Primeira Liga,FC Famalicão,CD Tondela,2026-01-25 18:00:00
football:fatih karagumruk:galatasaray:20260124,football,Turkish Super Lig,Fatih Karagümrük SK,Galatasaray SK,2026-01-24 17:00:00
football:fenerbahce:aston villa:20260122,football,Europa League,Fenerbahçe SK,Aston Villa FC,2026-01-22 17:45:00
